Customer ID,Credit Limit,Utilisation %,Avg Payment Ratio,Min Due Paid Frequency,Merchant Mix Index,Cash Withdrawal %,Recent Spend Change %,DPD Bucket Next Month
C0001,61600,60,62,68,0.64,12,-25,0
C0002,20900,96,0,42,0.38,39,-72,2
C0003,33500,31,96,48,0.65,0,-7,0
C0004,27800,32,34,20,0.59,40,-15,0
C0005,20000,21,62,3,0.56,0,2,0
C0006,44200,42,61,61,0.9,33,25,0
C0007,20700,22,73,26,0.86,33,1,0
C0008,31900,46,11,30,0.61,12,-18,1
C0009,20000,34,100,54,0.82,0,7,0
C0010,32200,25,61,62,0.65,0,5,0
C0011,44500,56,45,38,0.91,23,-19,0
C0012,37000,82,0,40,0.19,72,-13,2
C0013,55000,29,100,20,0.48,60,25,1
C0014,36000,51,41,0,0.82,20,-25,0
C0015,48300,69,10,0,1.0,34,26,0
C0016,28700,28,92,16,0.75,24,0,0
C0017,32300,23,48,20,0.84,19,-9,0
C0018,80400,17,90,33,0.56,12,43,0
C0019,25400,13,89,0,0.49,0,2,0
C0020,45300,0,100,66,0.76,10,-32,0
C0021,42700,68,37,0,0.57,1,-11,0
C0022,20000,41,62,12,0.69,9,-19,0
C0023,75500,69,55,23,0.69,34,-5,0
C0024,74200,53,41,0,0.69,4,23,0
C0025,26800,50,44,53,0.42,22,-31,0
C0026,20000,50,27,72,0.7,81,0,1
C0027,50700,79,29,22,0.91,31,38,0
C0028,29000,33,74,25,0.95,31,46,0
C0029,63200,42,33,0,0.6,0,-17,0
C0030,36600,67,37,8,0.78,30,23,0
C0031,20900,47,51,0,0.57,0,17,0
C0032,55400,14,100,38,0.74,0,-11,0
C0033,35100,36,73,22,0.66,23,-7,0
C0034,42900,72,81,78,0.49,48,34,2
C0035,26900,19,93,75,0.56,90,10,2
C0036,87300,46,75,52,0.34,37,-67,1
C0037,49600,67,31,3,0.54,39,0,0
C0038,20000,72,49,1,0.63,0,9,0
C0039,98000,31,79,53,0.76,19,-24,0
C0040,167800,17,76,29,0.67,71,-1,0
C0041,28900,49,35,28,0.82,22,-20,0
C0042,41900,46,43,15,0.75,16,-5,0
C0043,25000,40,29,0,0.63,0,-26,0
C0044,30000,50,81,50,0.45,49,-51,2
C0045,30300,52,24,20,0.69,0,-47,0
C0046,29800,15,38,65,0.82,1,20,0
C0047,31500,66,68,18,0.89,8,-6,0
C0048,61500,31,29,13,0.66,15,-31,0
C0049,110100,41,17,41,0.73,0,-22,0
C0050,25300,56,35,0,0.73,0,29,0
C0051,65500,69,70,70,0.73,57,-45,2
C0052,45600,27,67,0,0.6,8,22,0
C0053,26800,76,42,24,0.32,77,-26,2
C0054,20000,55,80,27,0.73,25,-16,1
C0055,29300,51,31,9,0.53,38,-15,0
C0056,25100,83,11,62,0.41,75,-34,2
C0057,35100,57,46,59,0.85,16,13,0
C0058,56200,81,0,0,0.45,2,-11,0
C0059,20300,17,88,22,0.25,51,-9,0
C0060,45800,83,28,37,0.56,44,-6,0
C0061,48800,17,100,6,0.54,14,42,0
C0062,20000,43,32,14,0.84,12,21,0
C0063,67800,100,6,51,0.63,33,12,1
C0064,25800,55,86,26,0.51,8,11,0
C0065,29500,92,0,36,0.86,0,-54,0
C0066,30800,73,16,0,0.28,0,-32,0
C0067,29500,73,35,15,0.73,18,0,0
C0068,28000,26,57,83,0.62,27,-32,1
C0069,39700,57,57,0,0.76,18,-34,0
C0070,25400,67,0,66,0.28,62,-13,3
C0071,31300,48,72,63,0.7,17,-6,0
C0072,40600,62,67,5,0.59,46,-7,0
C0073,41600,48,77,0,0.53,23,-11,0
C0074,20000,58,27,37,0.54,38,17,1
C0075,20100,41,70,21,0.65,0,9,0
C0076,45300,16,93,0,0.65,3,9,0
C0077,41100,40,44,0,0.75,19,-8,0
C0078,26900,80,46,65,0.6,42,37,0
C0079,37000,56,23,43,0.83,72,-6,0
C0080,27000,61,36,0,0.8,30,-9,0
C0081,21600,14,81,10,0.46,39,-35,1
C0082,20000,90,41,0,0.5,25,-7,0
C0083,49200,33,38,44,0.78,2,29,0
C0084,24500,78,14,14,0.83,46,-7,0
C0085,20000,12,100,37,0.42,28,13,0
C0086,22500,28,83,10,0.84,19,22,0
C0087,84400,85,33,0,0.62,24,-25,0
C0088,72000,62,59,61,0.89,25,0,0
C0089,30900,54,14,87,0.47,12,-10,1
C0090,58000,25,75,0,0.86,0,-6,0
C0091,40700,0,100,23,0.76,12,16,0
C0092,20500,98,0,49,0.4,24,5,0
C0093,50100,39,43,72,0.56,37,0,0
C0094,31200,60,95,0,0.83,0,-14,0
C0095,26500,37,62,26,0.89,16,-20,0
C0096,20000,75,47,28,0.56,44,17,0
C0097,47300,54,60,55,1.0,0,-7,0
C0098,32200,100,0,24,0.56,23,-31,0
C0099,36200,30,53,0,0.94,21,-12,0
C0100,107100,59,22,67,0.64,6,-25,0
C0101,67100,20,100,0,0.52,0,-8,0
C0102,34700,90,0,31,0.55,0,-17,0
C0103,20000,11,100,0,0.76,12,61,0
C0104,27600,0,100,13,0.56,66,54,0
C0105,65800,70,30,39,0.41,45,5,2
C0106,20400,26,77,32,0.92,9,-20,0
C0107,46400,59,52,74,0.32,23,3,0
C0108,72300,42,44,9,0.51,68,5,0
C0109,20000,31,75,50,0.74,37,31,0
C0110,48300,6,100,76,0.83,32,48,0
C0111,39000,29,40,23,0.68,0,-12,0
C0112,27600,31,66,0,1.0,6,4,0
C0113,84700,100,80,64,0.2,68,8,2
C0114,20000,57,58,12,0.82,56,0,1
C0115,38300,57,24,0,0.79,30,20,0
C0116,35400,50,32,41,0.56,19,-49,1
C0117,46600,41,37,79,0.62,39,2,1
C0118,68800,0,100,20,0.56,42,34,0
C0119,20200,0,79,10,0.59,81,-48,1
C0120,66300,29,88,0,0.8,26,-27,0
C0121,35600,41,17,0,0.55,42,-11,1
C0122,40700,36,65,0,0.58,51,16,1
C0123,44100,53,50,5,0.58,0,-26,0
C0124,20000,91,10,0,0.59,0,26,0
C0125,49100,100,0,31,0.73,0,25,0
C0126,31600,56,84,20,0.82,25,-33,0
C0127,29500,55,37,57,0.66,10,-22,1
C0128,20000,63,13,0,0.42,45,-35,1
C0129,26300,39,75,0,0.53,0,0,0
C0130,59500,30,85,9,0.62,18,3,0
C0131,43500,45,13,0,0.7,17,7,0
C0132,34000,53,61,34,0.82,1,25,0
C0133,56100,16,100,14,0.97,0,-9,0
C0134,20000,50,99,26,0.76,17,30,0
C0135,61600,86,89,54,0.85,69,10,2
C0136,31800,43,61,27,0.38,10,26,0
C0137,33100,42,26,63,0.61,21,-24,0
C0138,90500,3,91,0,0.72,9,0,0
C0139,28800,41,30,62,0.78,16,4,0
C0140,36900,48,50,43,0.23,60,2,3
C0141,26800,71,8,39,0.52,55,-18,2
C0142,28000,31,89,0,0.59,14,-33,0
C0143,20000,14,85,42,0.68,3,-23,0
C0144,28300,35,70,24,0.9,5,5,0
C0145,36400,36,51,0,0.49,0,12,0
C0146,23500,32,50,36,0.82,13,-29,0
C0147,20000,89,19,33,0.68,2,6,0
C0148,70000,30,46,32,0.74,27,-5,0
C0149,27800,70,1,27,0.54,0,-7,0
C0150,24500,19,100,40,0.63,20,-13,0
C0151,46400,84,91,25,0.49,39,-11,2
C0152,35400,56,39,27,0.95,40,60,0
C0153,20900,8,99,16,0.84,57,-41,0
C0154,52600,24,39,0,0.61,0,3,0
C0155,55500,92,0,70,0.4,73,-30,3
